,fname,width,slice
18944,file1002227.h5,368,30
18945,file1002073.h5,368,22
18946,file1001139.h5,368,18
18947,file1002334.h5,368,31
18948,file1001500.h5,368,34
18949,file1000177.h5,368,1
18950,file1001424.h5,368,8
18951,file1000306.h5,368,4
18952,file1001432.h5,368,4
18953,file1002333.h5,368,2
18954,file1001941.h5,368,34
18955,file1002271.h5,368,19
18956,file1000597.h5,368,30
18957,file1002567.h5,368,9
18958,file1001888.h5,368,1
18959,file1001856.h5,368,11
25056,file1002064.h5,368,4
25057,file1000518.h5,368,31
25058,file1001378.h5,368,13
25059,file1001355.h5,368,17
25060,file1000029.h5,368,27
25061,file1001061.h5,368,12
25062,file1001056.h5,368,0
25063,file1001863.h5,368,14
25064,file1001800.h5,368,12
25065,file1000090.h5,368,3
25066,file1001005.h5,368,30
25067,file1002440.h5,368,33
25068,file1002554.h5,368,3
25069,file1001654.h5,368,23
25070,file1001176.h5,368,34
25071,file1000633.h5,368,26
23104,file1000120.h5,368,22
23105,file1001800.h5,368,1
23106,file1001737.h5,368,13
23107,file1002342.h5,368,36
23108,file1002425.h5,368,5
23109,file1002046.h5,368,4
23110,file1001638.h5,368,25
23111,file1002154.h5,368,6
23112,file1001746.h5,368,32
23113,file1001872.h5,368,3
23114,file1001927.h5,368,2
23115,file1000586.h5,368,28
23116,file1001246.h5,368,37
23117,file1001005.h5,368,1
23118,file1000065.h5,368,30
23119,file1001210.h5,368,34
33760,file1002243.h5,368,26
33761,file1001033.h5,368,36
33762,file1000974.h5,368,38
33763,file1001873.h5,368,21
33764,file1001220.h5,368,28
33765,file1001479.h5,368,20
33766,file1002151.h5,368,21
33767,file1002516.h5,368,21
33768,file1001109.h5,368,5
33769,file1001432.h5,368,31
33770,file1002342.h5,368,27
33771,file1001420.h5,368,26
33772,file1002341.h5,368,12
33773,file1000588.h5,368,1
33774,file1000058.h5,368,0
33775,file1001526.h5,368,16
13024,file1002246.h5,322,9
13025,file1001216.h5,322,6
13026,file1001353.h5,322,12
13027,file1001965.h5,322,19
13028,file1002549.h5,322,23
13029,file1001550.h5,322,20
13030,file1000311.h5,322,21
13031,file1002246.h5,322,28
13032,file1001465.h5,322,27
13033,file1001353.h5,322,27
13034,file1002246.h5,322,11
13035,file1001908.h5,322,4
13036,file1001013.h5,322,12
13037,file1000246.h5,322,17
13038,file1001965.h5,322,1
13039,file1001965.h5,322,3
24768,file1000535.h5,368,27
24769,file1000762.h5,368,36
24770,file1000807.h5,368,23
24771,file1002379.h5,368,40
24772,file1001033.h5,368,13
24773,file1002049.h5,368,30
24774,file1000539.h5,368,7
24775,file1001901.h5,368,19
24776,file1002386.h5,368,21
24777,file1001024.h5,368,28
24778,file1000539.h5,368,2
24779,file1001872.h5,368,17
24780,file1000794.h5,368,0
24781,file1000331.h5,368,2
24782,file1001382.h5,368,8
24783,file1001856.h5,368,10
8784,file1000661.h5,372,22
8785,file1002499.h5,372,0
8786,file1001496.h5,372,32
8787,file1000195.h5,372,7
8788,file1001027.h5,372,21
8789,file1002095.h5,372,22
8790,file1001708.h5,372,6
8791,file1000865.h5,372,12
8792,file1002238.h5,372,23
8793,file1000043.h5,372,5
8794,file1001455.h5,372,2
8795,file1002395.h5,372,10
8796,file1002103.h5,372,30
8797,file1001360.h5,372,4
8798,file1001986.h5,372,13
8799,file1002396.h5,372,2
720,file1000081.h5,372,7
721,file1001379.h5,372,26
722,file1002012.h5,372,6
723,file1001948.h5,372,1
724,file1000143.h5,372,7
725,file1000981.h5,372,2
726,file1000382.h5,372,21
727,file1001675.h5,372,28
728,file1001584.h5,372,5
729,file1001051.h5,372,17
730,file1000814.h5,372,8
731,file1000583.h5,372,12
732,file1002510.h5,372,28
733,file1001362.h5,372,20
734,file1001707.h5,372,23
735,file1002542.h5,372,11
8208,file1001986.h5,372,5
8209,file1000342.h5,372,14
8210,file1001306.h5,372,22
8211,file1000198.h5,372,20
8212,file1000639.h5,372,10
8213,file1000084.h5,372,16
8214,file1001147.h5,372,4
8215,file1000123.h5,372,4
8216,file1002478.h5,372,25
8217,file1001677.h5,372,7
8218,file1001907.h5,372,5
8219,file1001685.h5,372,14
8220,file1001775.h5,372,18
8221,file1002231.h5,372,22
8222,file1000123.h5,372,11
8223,file1000685.h5,372,7
31472,file1002399.h5,368,32
31473,file1001283.h5,368,23
31474,file1001113.h5,368,0
31475,file1000967.h5,368,11
31476,file1000597.h5,368,26
31477,file1001619.h5,368,5
31478,file1002383.h5,368,12
31479,file1001196.h5,368,32
31480,file1001638.h5,368,16
31481,file1000967.h5,368,5
31482,file1001998.h5,368,21
31483,file1002050.h5,368,19
31484,file1002397.h5,368,14
31485,file1000236.h5,368,1
31486,file1000402.h5,368,2
31487,file1000371.h5,368,33
33184,file1000643.h5,368,0
33185,file1002030.h5,368,25
33186,file1000762.h5,368,26
33187,file1000836.h5,368,16
33188,file1000252.h5,368,9
33189,file1001560.h5,368,16
33190,file1002189.h5,368,22
33191,file1000324.h5,368,20
33192,file1001307.h5,368,17
33193,file1001991.h5,368,11
33194,file1002363.h5,368,9
33195,file1001259.h5,368,9
33196,file1002462.h5,368,14
33197,file1000605.h5,368,29
33198,file1000452.h5,368,28
33199,file1000207.h5,368,16
15232,file1001130.h5,368,6
15233,file1002127.h5,368,20
15234,file1001949.h5,368,38
15235,file1001319.h5,368,16
15236,file1002024.h5,368,11
15237,file1001479.h5,368,13
15238,file1002409.h5,368,21
15239,file1000489.h5,368,26
15240,file1000003.h5,368,10
15241,file1000738.h5,368,11
15242,file1000131.h5,368,21
15243,file1000947.h5,368,21
15244,file1000434.h5,368,11
15245,file1001949.h5,368,19
15246,file1002006.h5,368,16
15247,file1002066.h5,368,20
34176,file1001847.h5,400,28
34177,file1000216.h5,400,8
34178,file1000216.h5,400,35
34179,file1000216.h5,400,32
34180,file1001546.h5,400,26
34181,file1001082.h5,400,33
34182,file1000216.h5,400,36
34183,file1001847.h5,400,18
34184,file1000216.h5,400,30
34185,file1001847.h5,400,15
34186,file1001847.h5,400,20
34187,file1001546.h5,400,16
34188,file1001847.h5,400,23
34189,file1001546.h5,400,32
34190,file1000216.h5,400,34
34191,file1000216.h5,400,9
15776,file1001491.h5,368,15
15777,file1000633.h5,368,34
15778,file1001401.h5,368,32
15779,file1000586.h5,368,20
15780,file1001474.h5,368,38
15781,file1000426.h5,368,16
15782,file1001950.h5,368,15
15783,file1000064.h5,368,13
15784,file1001276.h5,368,21
15785,file1002069.h5,368,4
15786,file1002371.h5,368,24
15787,file1001189.h5,368,23
15788,file1000349.h5,368,9
15789,file1002097.h5,368,41
15790,file1000351.h5,368,7
15791,file1002243.h5,368,13
32880,file1000695.h5,368,26
32881,file1001297.h5,368,28
32882,file1001299.h5,368,12
32883,file1000856.h5,368,17
32884,file1002093.h5,368,15
32885,file1002371.h5,368,8
32886,file1001752.h5,368,3
32887,file1002234.h5,368,29
32888,file1000127.h5,368,32
32889,file1001200.h5,368,2
32890,file1000116.h5,368,23
32891,file1001385.h5,368,30
32892,file1002024.h5,368,2
32893,file1000048.h5,368,25
32894,file1001056.h5,368,10
32895,file1000372.h5,368,0
26672,file1002325.h5,368,28
26673,file1002369.h5,368,8
26674,file1000742.h5,368,2
26675,file1001087.h5,368,11
26676,file1002166.h5,368,15
26677,file1000383.h5,368,20
26678,file1000452.h5,368,4
26679,file1002456.h5,368,2
26680,file1000481.h5,368,5
26681,file1001910.h5,368,35
26682,file1001106.h5,368,7
26683,file1002397.h5,368,23
26684,file1001737.h5,368,34
26685,file1002492.h5,368,33
26686,file1000213.h5,368,21
26687,file1000285.h5,368,30
30384,file1001873.h5,368,10
30385,file1001327.h5,368,2
30386,file1001942.h5,368,27
30387,file1002269.h5,368,29
30388,file1000256.h5,368,3
30389,file1000461.h5,368,15
30390,file1000349.h5,368,6
30391,file1001385.h5,368,28
30392,file1002073.h5,368,0
30393,file1002514.h5,368,9
30394,file1000365.h5,368,28
30395,file1000029.h5,368,9
30396,file1000244.h5,368,7
30397,file1001053.h5,368,9
30398,file1000159.h5,368,3
30399,file1001561.h5,368,40
33856,file1001273.h5,480,37
33857,file1001273.h5,480,7
33858,file1001273.h5,480,14
33859,file1001273.h5,480,3
33860,file1001273.h5,480,4
33861,file1001273.h5,480,47
33862,file1001273.h5,480,0
33863,file1001273.h5,480,25
33864,file1001273.h5,480,32
33865,file1001273.h5,480,16
33866,file1001273.h5,480,28
33867,file1001273.h5,480,22
33868,file1001273.h5,480,33
33869,file1001273.h5,480,45
33870,file1001273.h5,480,6
33871,file1001273.h5,480,21
33776,file1000159.h5,368,26
33777,file1002423.h5,368,18
33778,file1001062.h5,368,3
33779,file1000434.h5,368,23
33780,file1000778.h5,368,4
33781,file1002146.h5,368,30
33782,file1000750.h5,368,31
33783,file1000851.h5,368,17
33784,file1001176.h5,368,15
33785,file1000637.h5,368,0
33786,file1000223.h5,368,24
33787,file1002481.h5,368,6
33788,file1000778.h5,368,35
33789,file1002043.h5,368,26
33790,file1000633.h5,368,3
33791,file1002431.h5,368,30
21008,file1001927.h5,368,11
21009,file1000548.h5,368,29
21010,file1002332.h5,368,10
21011,file1001638.h5,368,12
21012,file1002518.h5,368,34
21013,file1001029.h5,368,36
21014,file1000467.h5,368,14
21015,file1000002.h5,368,9
21016,file1001528.h5,368,21
21017,file1000204.h5,368,2
21018,file1001830.h5,368,16
21019,file1000372.h5,368,7
21020,file1000307.h5,368,3
21021,file1001863.h5,368,24
21022,file1001468.h5,368,16
21023,file1002514.h5,368,30
464,file1002211.h5,372,28
465,file1001145.h5,372,37
466,file1000176.h5,372,1
467,file1002315.h5,372,5
468,file1000994.h5,372,25
469,file1001582.h5,372,5
470,file1001413.h5,372,35
471,file1001348.h5,372,5
472,file1000959.h5,372,33
473,file1000612.h5,372,26
474,file1000347.h5,372,29
475,file1000222.h5,372,17
476,file1001131.h5,372,13
477,file1000200.h5,372,11
478,file1002062.h5,372,24
479,file1000458.h5,372,1
28448,file1000585.h5,368,34
28449,file1002056.h5,368,19
28450,file1002514.h5,368,6
28451,file1000434.h5,368,15
28452,file1000159.h5,368,24
28453,file1002163.h5,368,10
28454,file1000483.h5,368,18
28455,file1001304.h5,368,31
28456,file1002045.h5,368,4
28457,file1000220.h5,368,10
28458,file1001134.h5,368,24
28459,file1000296.h5,368,14
28460,file1001390.h5,368,17
28461,file1001014.h5,368,38
28462,file1001109.h5,368,26
28463,file1001426.h5,368,3
27696,file1001235.h5,368,3
27697,file1001526.h5,368,11
27698,file1002264.h5,368,27
27699,file1000213.h5,368,8
27700,file1001113.h5,368,3
27701,file1002381.h5,368,27
27702,file1001370.h5,368,29
27703,file1002296.h5,368,9
27704,file1001299.h5,368,0
27705,file1000754.h5,368,25
27706,file1001905.h5,368,8
27707,file1002030.h5,368,33
27708,file1000066.h5,368,21
27709,file1001728.h5,368,4
27710,file1002093.h5,368,6
27711,file1000057.h5,368,2
22416,file1000693.h5,368,14
22417,file1000754.h5,368,6
22418,file1002440.h5,368,17
22419,file1002494.h5,368,28
22420,file1001561.h5,368,31
22421,file1000640.h5,368,28
22422,file1001141.h5,368,27
22423,file1002063.h5,368,15
22424,file1002456.h5,368,21
22425,file1000573.h5,368,22
22426,file1001526.h5,368,13
22427,file1001710.h5,368,1
22428,file1000262.h5,368,9
22429,file1002474.h5,368,23
22430,file1000481.h5,368,27
22431,file1001872.h5,368,32
33264,file1001391.h5,368,19
33265,file1001545.h5,368,30
33266,file1001048.h5,368,25
33267,file1002127.h5,368,13
33268,file1001560.h5,368,19
33269,file1001141.h5,368,6
33270,file1000211.h5,368,29
33271,file1002041.h5,368,38
33272,file1001022.h5,368,19
33273,file1001402.h5,368,7
33274,file1002379.h5,368,14
33275,file1002287.h5,368,25
33276,file1002440.h5,368,1
33277,file1002050.h5,368,32
33278,file1000882.h5,368,13
33279,file1000554.h5,368,30
7168,file1000472.h5,372,9
7169,file1001582.h5,372,14
7170,file1002475.h5,372,20
7171,file1000721.h5,372,15
7172,file1001350.h5,372,33
7173,file1000663.h5,372,12
7174,file1001079.h5,372,14
7175,file1001707.h5,372,3
7176,file1001395.h5,372,30
7177,file1000265.h5,372,25
7178,file1001071.h5,372,9
7179,file1001836.h5,372,14
7180,file1000876.h5,372,22
7181,file1001121.h5,372,17
7182,file1002231.h5,372,1
7183,file1001544.h5,372,29
33280,file1001206.h5,368,15
33281,file1000452.h5,368,17
33282,file1002251.h5,368,20
33283,file1000510.h5,368,32
33284,file1001941.h5,368,22
33285,file1000434.h5,368,24
33286,file1001991.h5,368,19
33287,file1000859.h5,368,6
33288,file1001752.h5,368,12
33289,file1000947.h5,368,31
33290,file1001196.h5,368,18
33291,file1000548.h5,368,32
33292,file1000743.h5,368,13
33293,file1001114.h5,368,21
33294,file1002563.h5,368,2
33295,file1001659.h5,368,28
34096,file1001082.h5,400,28
34097,file1001546.h5,400,7
34098,file1001082.h5,400,31
34099,file1001082.h5,400,26
34100,file1000216.h5,400,16
34101,file1000216.h5,400,7
34102,file1001546.h5,400,13
34103,file1001082.h5,400,7
34104,file1001847.h5,400,31
34105,file1001546.h5,400,27
34106,file1001546.h5,400,4
34107,file1000216.h5,400,0
34108,file1001546.h5,400,34
34109,file1001082.h5,400,4
